active_raw_rows,active_unmatched_rows,active_excluded_non_dels,active_excluded_non_distal_dels,repressed_raw_rows,repressed_unmatched_rows,repressed_excluded_non_dels,repressed_excluded_non_distal_dels,conflicting_loci_excluded,n_loci,positive_count,negative_count,tissue,selected,positive_prevalence
231808,0,109325,1789,251668,0,83110,969,26773,234737,93921,140816,Peyers_patch,True,0.40011161427469893
288587,0,117204,1746,156348,0,39528,405,30472,225108,139165,85943,adrenal_gland,False,0.6182143682143683
183606,0,92733,1311,156574,0,52525,647,7621,177722,81941,95781,ascending_aorta,False,0.4610627834483069
237173,0,109980,1643,220484,0,66736,774,25486,227552,100064,127488,body_of_pancreas,True,0.43974124595696806
208763,0,103800,1605,163911,0,55052,664,11900,187753,91458,96295,breast_epithelium,False,0.48711871448125993
180419,0,93412,1292,56788,0,14499,212,2220,123352,83495,39857,coronary_artery,False,0.6768840391724495
187153,0,97751,1413,221989,0,80100,991,14805,199277,73184,126093,esophagus_muscularis_mucosa,False,0.3672476000742685
202064,0,102325,1574,181841,0,63664,757,12070,191445,86095,105350,esophagus_squamous_epithelium,False,0.44971140536446497
196203,0,96743,1426,215358,0,69736,767,9210,224469,88824,135645,gastrocnemius_medialis,False,0.3957072023308341
211834,0,101081,1443,184935,0,58630,697,14565,205788,94745,111043,gastroesophageal_sphincter,True,0.4604009951989426
185812,0,95071,1369,152576,0,54372,654,7636,171650,81736,89914,heart_left_ventricle,False,0.4761782697349257
199341,0,101515,1499,98107,0,25558,302,6238,156098,90089,66009,ovary,False,0.5771310330689695
179716,0,94903,1423,117491,0,36478,451,5353,153246,78037,75209,prostate_gland,False,0.5092269945055662
191017,0,95308,1353,150042,0,49931,563,7546,178812,86810,92002,right_atrium_auricular_region,False,0.4854819587052323
164124,0,87877,1287,86640,0,23794,312,6101,125292,68859,56433,right_lobe_of_liver,False,0.5495881620534432
206275,0,100759,1434,192491,0,63059,806,13550,205608,90532,115076,sigmoid_colon,False,0.4403136064744562
191232,0,99490,1511,176766,0,63856,741,8855,184690,81376,103314,spleen,False,0.4406085873626076
201958,0,104510,1623,177428,0,63229,714,10863,187584,84962,102622,stomach,False,0.45292775503241217
156253,0,88735,1257,112564,0,40387,479,3387,131185,62874,68311,suprapubic_skin,False,0.4792773564050768
190387,0,100144,1472,134229,0,40398,521,8168,165745,80603,85142,testis,False,0.48630727925427614
185983,0,91779,1285,98580,0,34051,359,6542,144005,86377,57628,thoracic_aorta,False,0.5998194507135169
261440,0,111607,1653,252058,0,73359,843,32569,260898,115611,145287,thyroid_gland,True,0.44312719913529425
195708,0,97983,1426,196188,0,65027,781,9943,206793,86356,120437,tibial_artery,False,0.4175963403016543
229063,0,108378,1642,221297,0,70807,815,17605,233508,101438,132070,tibial_nerve,True,0.43440909947410794
198417,0,102272,1546,149756,0,53104,625,7732,175162,86867,88295,transverse_colon,False,0.49592377342117583
212570,0,105626,1648,212200,0,77292,908,16304,206688,88992,117696,upper_lobe_of_left_lung,False,0.43056200650255455
190192,0,94506,1366,167081,0,51934,593,9646,189582,84674,104908,uterus,False,0.4466352290829298
179500,0,95890,1371,115592,0,38357,476,6876,145246,75363,69883,vagina,False,0.5188645470443248
